Country Name,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,AFG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,1.279420018,1.293120027,..,..,..,..,3.91140008,..,3.743940115,..,..,..,..
Afghanistan,AFG,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,1.33987E+11,1.85471E+11,2.24696E+11,2.52597E+11,3.11436E+11,3.52308E+11,4.90403E+11,5.19186E+11,6.15083E+11,7.29901E+11,8.56323E+11,1.06131E+12,1.13315E+12,1.15082E+12,..
Afghanistan,AFG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39,..
Afghanistan,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,..,..,..,..,..,8.199999809,..,..,..,..
Afghanistan,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,21.2,21.3,21.4,21.4,21.5,23.3,25,26.8,28.5,30.3,32,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48,49.8,51.6,53.4,55.2,55.3
Albania,ALB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,8.24736,8.48633,10.06516,9.49232,9.09173,9.79477,11.30863,12.03396,13.08852959,13.76231956,14.01383018,14.73867989,15.8126297,20.00498009,24.52325058,28.78627014,31.79338074,32.32130814,33.10620117,43.56153107,47.74272156,55.5009613,58.52988815,..,..
Albania,ALB,GDP (current LCU),NY.GDP.MKTP.CN,16403999700,53232001000,1.2534E+11,1.87891E+11,2.24745E+11,3.46403E+11,3.46198E+11,4.09209E+11,4.71578E+11,5.23043E+11,5.83369E+11,6.22711E+11,6.94097E+11,7.51022E+11,8.14797E+11,8.82209E+11,9.6767E+11,1.08068E+12,1.14394E+12,1.23964E+12,1.30062E+12,1.33281E+12,1.35055E+12,1.39354E+12,..
Albania,ALB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,..
Albania,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,22.70000076,..,..,..,..,..,13.5,13,13.80000019,14.19999981,14,13.39999962,15.60000038,17.5,..
Albania,ALB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,..,..,95.7,95.7,95.7,95.8,95.8,95.9,96.1,96.2,96.1,96.1,96.1,96,96,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1
Algeria,DZA,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,10.91436,11.01804,10.85202,10.34419,10.05066,11.34196,..,..,13.60326958,..,15.24847984,16.74901009,17.74399948,18.18055916,19.76258087,20.21484947,22.28536034,..,28.59671021,28.75824928,30.27547073,31.46410942,33.30463028,..,..
Algeria,DZA,GDP (current LCU),NY.GDP.MKTP.CN,8.445E+11,1.0482E+12,1.166E+12,1.4915E+12,1.9906E+12,2.57E+12,2.7802E+12,2.8305E+12,3.2382E+12,4.1235E+12,4.22711E+12,4.52277E+12,5.25232E+12,6.14912E+12,7.56198E+12,8.50164E+12,9.35289E+12,1.10437E+13,9.96803E+12,1.19916E+13,1.45885E+13,1.62087E+13,1.66438E+13,1.72051E+13,..
Algeria,DZA,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,18.09,..
Algeria,DZA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,20.60000038,23,23.20000076,24.39999962,27.89999962,..,25.39999962,..,..,29.79999924,27.29999924,25.89999962,23.70000076,20.10000038,15.30000019,12.30000019,13.80000019,11.30000019,10.19999981,10,10,11,9.800000191,10.60000038,..
