country,cid,metric,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,GDP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33987E+11,1.85471E+11,2.24696E+11,2.52597E+11,3.11436E+11,3.52308E+11,4.90403E+11,5.19186E+11,6.15083E+11,7.29901E+11,8.56323E+11,1.06131E+12,1.13315E+12,1.15082E+12,NaN
Afghanistan,AFG,internet_users,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39,NaN
Afghanistan,AFG,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5,NaN,NaN,NaN,NaN,NaN,8.199999809,NaN,NaN,NaN,NaN
Albania,ALB,GDP,16403999700,53232001000,1.2534E+11,1.87891E+11,2.24745E+11,3.46403E+11,3.46198E+11,4.09209E+11,4.71578E+11,5.23043E+11,5.83369E+11,6.22711E+11,6.94097E+11,7.51022E+11,8.14797E+11,8.82209E+11,9.6767E+11,1.08068E+12,1.14394E+12,1.23964E+12,1.30062E+12,1.33281E+12,1.35055E+12,1.39354E+12,NaN
Albania,ALB,internet_users,NaN,NaN,NaN,NaN,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,NaN
Albania,ALB,unemployment,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.70000076,NaN,NaN,NaN,NaN,NaN,13.5,13,13.80000019,14.19999981,14,13.39999962,15.60000038,17.5,NaN
Algeria,DZA,GDP,8.445E+11,1.0482E+12,1.166E+12,1.4915E+12,1.9906E+12,2.57E+12,2.7802E+12,2.8305E+12,3.2382E+12,4.1235E+12,4.22711E+12,4.52277E+12,5.25232E+12,6.14912E+12,7.56198E+12,8.50164E+12,9.35289E+12,1.10437E+13,9.96803E+12,1.19916E+13,1.45885E+13,1.62087E+13,1.66438E+13,1.72051E+13,NaN
Algeria,DZA,internet_users,NaN,NaN,NaN,0.000360674,0.001768954,0.001738533,0.010268463,0.020238555,0.199523843,0.491705679,0.646114017,1.59164126,2.195359731,4.634475088,5.843942092,7.375984956,9.451190626,10.18,11.23,12.5,14,15.22802676,16.5,18.09,NaN
Algeria,DZA,unemployment,20.60000038,23,23.20000076,24.39999962,27.89999962,NaN,25.39999962,NaN,NaN,29.79999924,27.29999924,25.89999962,23.70000076,20.10000038,15.30000019,12.30000019,13.80000019,11.30000019,10.19999981,10,10,11,9.800000191,10.60000038,NaN
American Samoa,ASM,GDP,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
American Samoa,ASM,internet_users,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
