CountryName,Region,Country Code,Series Name,Series Code,1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015]
Afghanistan,Middle East,AFG,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,..,..,..,..,..,..,..,..,..,..,..,..,1.279420018,1.293120027,..,..,..,..,3.91140008,..,3.743940115,..,..,..,..
Afghanistan,Middle East,AFG,GDP (current LCU),NY.GDP.MKTP.CN,..,..,..,..,..,..,..,..,..,..,1.34E+11,1.85E+11,2.25E+11,2.53E+11,3.11E+11,3.52E+11,4.90E+11,5.19E+11,6.15E+11,7.30E+11,8.56E+11,1.06E+12,1.13E+12,1.15E+12,..
Afghanistan,Middle East,AFG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,..,..,..,..,..,..,0.004722568,0.004561395,0.087891253,0.10580903,1.224148084,2.107123645,1.9,1.84,3.55,4,5,5.454545455,5.9,6.39,..
Afghanistan,Middle East,AFG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.5,..,..,..,..,..,8.199999809,..,..,..,..
Afghanistan,Middle East,AFG,Improved water source (% of population with access),SH.H2O.SAFE.ZS,21.2,21.3,21.4,21.4,21.5,23.3,25,26.8,28.5,30.3,32,33.8,35.5,37.3,39.1,40.8,42.6,44.4,46.2,48,49.8,51.6,53.4,55.2,55.3
Albania,Eastern Europe,ALB,"Gross enrolment ratio, tertiary, both sexes (%)",SE.TER.ENRR,8.24736,8.48633,10.06516,9.49232,9.09173,9.79477,11.30863,12.03396,13.08852959,13.76231956,14.01383018,14.73867989,15.8126297,20.00498009,24.52325058,28.78627014,31.79338074,32.32130814,33.10620117,43.56153107,47.74272156,55.5009613,58.52988815,..,..
Albania,Eastern Europe,ALB,GDP (current LCU),NY.GDP.MKTP.CN,16403999700,53232001000,1.25E+11,1.88E+11,2.25E+11,3.46E+11,3.46E+11,4.09E+11,4.72E+11,5.23E+11,5.83E+11,6.23E+11,6.94E+11,7.51E+11,8.15E+11,8.82E+11,9.68E+11,1.08E+12,1.14E+12,1.24E+12,1.30E+12,1.33E+12,1.35E+12,1.39E+12,..
Albania,Eastern Europe,ALB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..,..,0.011168695,0.032196828,0.048593919,0.06502737,0.081437045,0.114097347,0.325798377,0.390081273,0.971900415,2.420387798,6.043890864,9.609991316,15.03611541,23.86,41.2,45,49,54.65595904,57.2,60.1,..
Albania,Eastern Europe,ALB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,..,..,..,..,..,..,..,..,..,..,22.70000076,..,..,..,..,..,13.5,13,13.80000019,14.19999981,14,13.39999962,15.60000038,17.5,..
Albania,Eastern Europe,ALB,Improved water source (% of population with access),SH.H2O.SAFE.ZS,..,..,..,95.7,95.7,95.7,95.8,95.8,95.9,96.1,96.2,96.1,96.1,96.1,96,96,95.9,95.8,95.7,95.6,95.5,95.4,95.2,95.1,95.1
